holding_month,portfolio,instrument,contribution
2018-02,baseline,A079430,-0.0008787196132126797
2018-02,baseline,A079550,-0.0010599304128648733
2018-02,baseline,A086280,-1.797332024234496e-05
2018-02,baseline,A086790,-0.00023674244924946783
2018-02,baseline,A088350,-0.0005180005191007955
2018-02,baseline,A090430,-0.00041245791942276825
2018-02,baseline,A093050,-0.0006378795462656792
2018-02,baseline,A093370,-0.0006432247065328592
2018-02,baseline,A096760,-0.0005234260719560273
2018-02,baseline,A096770,4.915334165997404e-05
2018-02,baseline,A097230,-0.0005897905260205664
2018-02,baseline,A097950,-0.0004483111208634375
2018-02,baseline,A103140,-0.0007878788106433689
2018-02,baseline,A105560,-0.0001986582890450306
2018-02,baseline,A105630,-0.0009915670411014368
2018-02,baseline,A108670,-0.0004928672606185875
2018-02,baseline,A111770,-0.0007063112444048728
2018-02,baseline,A114090,-0.0013913015708362367
2018-02,baseline,A115390,-0.0008294624850633529
2018-02,baseline,A120110,-0.0006541127300341803
2018-02,baseline,A128940,-0.001007438149478066
2018-02,baseline,A138930,0.00019058508810894061
2018-02,baseline,A139480,0.0003551813339096229
2018-02,baseline,A145990,-0.0007823331385602003
2018-02,baseline,A161390,0.0004783720846921424
2018-02,baseline,A161890,-0.0008187018176000323
2018-02,baseline,A170900,-0.0005114435590449241
2018-02,baseline,A185750,-0.0004352706130281109
2018-02,baseline,A192400,-5.1959936691578815e-05
2018-02,baseline,A192820,-0.00041614649692755634
2018-02,baseline,A204320,-0.0006301715384965541
2018-02,baseline,A207940,0.0002505323863768629
2018-02,baseline,A214320,-0.0005816179248882794
2018-02,baseline,A251270,-0.0006840741818717738
2018-02,baseline,A267250,-0.0004036041094221281
2018-02,baseline,A271560,-0.000500876545267986
2018-02,high_pbr,A001060,-0.0030715811827315247
2018-02,high_pbr,A002790,-0.0029199743719922435
2018-02,high_pbr,A002960,-0.0015540015864692676
2018-02,high_pbr,A003000,-0.002442002418147208
2018-02,high_pbr,A003520,-0.002614797591517848
2018-02,high_pbr,A005250,0.0003729603446577672
2018-02,high_pbr,A005610,-0.004625121708703106
2018-02,high_pbr,A007310,-0.0023673768443917167
2018-02,high_pbr,A007570,-0.0016742628715039989
2018-02,high_pbr,A008770,-0.004040243967643826
2018-02,high_pbr,A008930,-0.004777986300215032
2018-02,high_pbr,A009240,-0.0028068578032975425
2018-02,high_pbr,A009420,-0.0023342174594746194
2018-02,high_pbr,A012750,-0.0015461925060366716
2018-02,high_pbr,A014820,-0.0021244009010079157
2018-02,high_pbr,A018260,-0.001802884563302274
2018-02,high_pbr,A018880,-0.0016448960113538604
2018-02,high_pbr,A020150,-0.003894003793969092
2018-02,high_pbr,A021240,-0.002676516164703734
2018-02,high_pbr,A028050,-0.002187028739414482
2018-02,high_pbr,A035420,-0.0038058727037597662
2018-02,high_pbr,A035720,-0.0025369214855116987
2018-02,high_pbr,A036570,-0.003944773181231371
2018-02,high_pbr,A047810,-0.001388682220204601
2018-02,high_pbr,A051900,-0.0020072519215780494
